                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.7079,                0.72926,                0.92714,                0.85814,                0.90746,                0.90595,                0.30889,                  2.341,                0.97142,                 0.9458,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.7561,                0.74891,                0.94905,                 0.8338,                0.88333,                0.86464,                0.31599,                 2.2998,                0.90488,                0.93258,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.7347,                0.71662,                0.98442,                0.91204,                0.93333,                0.91616,                0.30334,                 2.3502,                 0.9389,                0.94684,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.6922,                 0.7635,                0.99858,                0.85368,                0.87518,                0.85687,                0.26951,                 2.4166,                0.93841,                0.97951,               0.000812,               0.000812,               0.000812
                     63,                 1.7128,                0.69362,                0.95261,                0.84696,                0.83015,                0.83735,                0.29606,                 2.3152,                0.90382,                0.94658,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.7327,                0.73049,                0.99107,                0.86018,                0.78333,                0.81623,                0.26799,                 2.5083,                 0.9535,                0.97211,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.6863,                0.74643,                0.92177,                 0.8812,                   0.85,                0.87549,                0.30784,                  2.329,                0.91672,                0.95418,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.7034,                0.76024,                0.96507,                0.87698,                 0.8317,                 0.8569,                0.29942,                 2.3835,                0.96209,                 0.9846,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.7029,                  0.772,                0.96084,                0.79799,                0.81667,                0.79152,                0.24594,                 2.4706,                 1.0231,                  0.997,               0.000713,               0.000713,               0.000713
                     68,                 1.6141,                0.70941,                0.92628,                0.81406,                0.81667,                0.79227,                0.28626,                 2.3938,                0.93842,                0.94705,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.7154,                0.73595,                0.96521,                0.89958,                 0.8959,                0.88984,                0.31386,                 2.2654,                0.87826,                 0.9347,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.6304,                0.70053,                0.98171,                0.89615,                0.86298,                0.87786,                0.28317,                 2.4183,                0.91163,                 0.9567,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.6119,                0.71389,                0.92477,                 0.9048,                   0.85,                0.88904,                0.30736,                 2.2526,                 0.8774,                0.95886,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.5774,                0.70602,                0.92063,                0.86686,                0.86667,                0.88306,                0.28495,                 2.4681,                0.97891,                 1.0089,               0.000614,               0.000614,               0.000614
                     73,                 1.5702,                0.66254,                0.90967,                0.88443,                0.89288,                0.88255,                0.30713,                  2.383,                0.89491,                   0.99,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.6375,                0.69206,                0.94241,                0.86915,                0.91667,                0.89784,                0.28777,                 2.4116,                0.91247,                0.95745,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.6158,                0.70761,                0.95881,                0.85788,                0.86667,                0.82739,                0.25458,                 2.4739,                0.92432,                 0.9778,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.585,                0.68195,                0.94671,                0.87901,                0.84763,                0.83779,                0.28844,                 2.3698,                0.93908,                0.95397,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.5704,                0.68953,                0.93136,                0.91649,                0.91453,                0.88472,                0.26648,                 2.4762,                0.94014,                0.97797,               0.000515,               0.000515,               0.000515
                     78,                 1.5602,                0.69029,                0.89671,                0.89846,                    0.9,                0.87975,                0.30005,                 2.3822,                0.89227,                0.96333,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.5671,                0.68545,                0.90911,                0.88261,                0.83333,                0.85415,                0.28725,                 2.5249,                 0.9764,                0.99836,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.5259,                0.65819,                0.91516,                0.87701,                0.83194,                0.82348,                0.25877,                 2.3555,                 1.0004,                0.97893,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.5408,                0.67193,                 0.9137,                0.90362,                    0.9,                0.88603,                0.29921,                 2.3118,                0.96824,                 0.9409,              0.0004358,              0.0004358,              0.0004358
                     82,                  1.485,                0.67469,                0.89329,                0.91407,                0.88647,                0.90527,                  0.296,                 2.2872,                0.94349,                0.97731,               0.000416,               0.000416,               0.000416
                     83,                  1.457,                0.63285,                0.89904,                0.85365,                  0.875,                0.87086,                0.29833,                  2.323,                0.94981,                0.98875,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.5001,                0.66289,                0.89163,                0.79219,                0.82602,                0.78365,                0.28209,                 2.3364,                 0.9162,                0.99801,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.4979,                0.64111,                0.88359,                0.86715,                0.87033,                0.84841,                0.27914,                 2.3984,                0.95603,                0.98283,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.4303,                0.64103,                0.89817,                0.88298,                0.88039,                0.87053,                0.30113,                 2.3011,                0.92184,                0.98402,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.5445,                0.64274,                0.91352,                0.85505,                0.88488,                0.87599,                 0.2882,                 2.3648,                0.92492,                0.98234,               0.000317,               0.000317,               0.000317
