epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3459.39,1.05459,0.47462,0.8803,0.848,0.80976,0.83248,0.36797,1.99244,0.76908,1.09342,0.000359992,0.000359992,0.000359992
73,3507.33,1.05047,0.47072,0.87816,0.85179,0.80992,0.8335,0.36872,1.99308,0.76835,1.09407,0.000356452,0.000356452,0.000356452
74,3555,1.05181,0.47124,0.8773,0.85327,0.81002,0.83382,0.36888,1.99473,0.76901,1.09485,0.000352886,0.000352886,0.000352886
75,3603.2,1.05048,0.47137,0.87755,0.85429,0.81084,0.8354,0.36954,1.99543,0.76902,1.09532,0.000349295,0.000349295,0.000349295
76,3651.23,1.03979,0.47078,0.87658,0.84817,0.81146,0.83259,0.36821,1.99402,0.7695,1.09392,0.000345679,0.000345679,0.000345679
77,3698.82,1.03649,0.46568,0.87572,0.85431,0.81045,0.83552,0.36836,1.99532,0.76797,1.09418,0.000342039,0.000342039,0.000342039
78,3746.74,1.03205,0.46429,0.87448,0.85318,0.80948,0.83436,0.36787,1.99727,0.76843,1.09508,0.000338377,0.000338377,0.000338377
79,3794.87,1.03383,0.4632,0.87711,0.8535,0.80836,0.83407,0.36854,1.99798,0.7674,1.09555,0.000334693,0.000334693,0.000334693
80,3842.68,1.03048,0.46199,0.8719,0.85195,0.80705,0.83236,0.3683,1.99843,0.76642,1.09557,0.000330988,0.000330988,0.000330988
81,3890.39,1.02444,0.46059,0.87335,0.85439,0.80867,0.83433,0.36853,1.99846,0.76495,1.09603,0.000327263,0.000327263,0.000327263
82,3938.22,1.02136,0.45799,0.87212,0.85309,0.80886,0.83391,0.36817,1.99886,0.76451,1.0966,0.000323519,0.000323519,0.000323519
83,3986.1,1.01439,0.45601,0.87232,0.85314,0.80919,0.83427,0.36917,1.99967,0.76389,1.09685,0.000319757,0.000319757,0.000319757
84,4034.03,1.0156,0.45581,0.87051,0.85269,0.81138,0.83497,0.36929,2.00033,0.76343,1.09762,0.000315977,0.000315977,0.000315977
85,4082.13,1.00941,0.45305,0.86833,0.85257,0.81192,0.83466,0.36863,2.00151,0.76223,1.09831,0.000312182,0.000312182,0.000312182
86,4130.19,1.01155,0.4543,0.86756,0.85147,0.81097,0.83454,0.36821,2.00282,0.76339,1.09882,0.000308371,0.000308371,0.000308371
87,4178.32,1.00385,0.45228,0.86554,0.8521,0.81189,0.83536,0.36874,2.00291,0.76322,1.09908,0.000304546,0.000304546,0.000304546
88,4226.23,1.0071,0.45266,0.86748,0.85218,0.81238,0.83549,0.36865,2.00458,0.76226,1.09939,0.000300707,0.000300707,0.000300707
89,4274.15,1.00499,0.45084,0.86729,0.85083,0.81084,0.83487,0.36857,2.00614,0.76213,1.10025,0.000296855,0.000296855,0.000296855
90,4322.36,0.99518,0.44571,0.86617,0.85076,0.81084,0.83425,0.36857,2.00665,0.76158,1.10075,0.000292993,0.000292993,0.000292993
91,4370.18,0.99,0.44598,0.8627,0.85208,0.81176,0.83516,0.36847,2.00671,0.76197,1.10125,0.000289119,0.000289119,0.000289119
92,4418,0.98622,0.44539,0.86014,0.85093,0.81463,0.83523,0.36935,2.00783,0.76092,1.10179,0.000285236,0.000285236,0.000285236
93,4465.78,0.99186,0.44326,0.86317,0.85184,0.81301,0.83593,0.36966,2.00772,0.76056,1.10238,0.000281344,0.000281344,0.000281344
94,4513.89,0.98854,0.44297,0.86443,0.85044,0.81364,0.83561,0.36918,2.00751,0.76042,1.10289,0.000277445,0.000277445,0.000277445
95,4561.81,0.98246,0.44173,0.86076,0.85268,0.81561,0.83761,0.36984,2.00913,0.76022,1.10371,0.000273538,0.000273538,0.000273538
96,4609.9,0.97713,0.4398,0.85948,0.85356,0.81506,0.83777,0.36964,2.00935,0.76006,1.10405,0.000269626,0.000269626,0.000269626
97,4657.49,0.97344,0.43568,0.86076,0.85442,0.8168,0.8386,0.36937,2.00937,0.75944,1.10476,0.000265709,0.000265709,0.000265709
98,4705.64,0.97343,0.43864,0.86092,0.85531,0.8168,0.83841,0.36932,2.00953,0.7591,1.10521,0.000261789,0.000261789,0.000261789
99,4753.56,0.96757,0.43265,0.85739,0.85451,0.81626,0.83741,0.36943,2.00955,0.75833,1.10593,0.000257865,0.000257865,0.000257865
100,4801.27,0.96239,0.43181,0.85846,0.85267,0.81555,0.83781,0.37001,2.01044,0.75792,1.10653,0.000253939,0.000253939,0.000253939
101,4849.21,0.9617,0.43301,0.85602,0.85276,0.81619,0.83854,0.36901,2.01216,0.75823,1.10719,0.000250013,0.000250013,0.000250013
102,4897.02,0.95681,0.43124,0.85719,0.85226,0.81605,0.8381,0.36878,2.01412,0.7575,1.10801,0.000246086,0.000246086,0.000246086
103,4944.94,0.9558,0.42946,0.85573,0.854,0.81793,0.83914,0.36901,2.01417,0.75807,1.10864,0.00024216,0.00024216,0.00024216
104,4992.68,0.95391,0.42898,0.85445,0.8549,0.81734,0.83964,0.36907,2.01432,0.7576,1.10926,0.000238236,0.000238236,0.000238236
105,5040.5,0.95148,0.42674,0.85626,0.8549,0.8168,0.83947,0.36891,2.01482,0.75736,1.1096,0.000234316,0.000234316,0.000234316
106,5088.47,0.94076,0.42444,0.85369,0.8557,0.81734,0.84059,0.36849,2.01561,0.75854,1.1105,0.000230399,0.000230399,0.000230399
107,5136.4,0.94748,0.42634,0.85233,0.8571,0.81843,0.84274,0.36916,2.01711,0.75803,1.11111,0.000226487,0.000226487,0.000226487
108,5184.59,0.94032,0.42501,0.85034,0.85536,0.81626,0.84113,0.36878,2.01738,0.75858,1.11195,0.00022258,0.00022258,0.00022258
109,5232.78,0.93726,0.42297,0.85235,0.85614,0.8168,0.84236,0.36932,2.01772,0.75847,1.11178,0.000218681,0.000218681,0.000218681
110,5280.52,0.94043,0.42145,0.85123,0.85699,0.81626,0.84218,0.36902,2.01733,0.75856,1.1124,0.000214789,0.000214789,0.000214789
111,5328.44,0.92771,0.41724,0.84893,0.85611,0.81734,0.84264,0.36839,2.01759,0.75803,1.11298,0.000210906,0.000210906,0.000210906
112,5376.64,0.93013,0.41922,0.8486,0.85579,0.81697,0.84181,0.36911,2.01763,0.75828,1.11388,0.000207032,0.000207032,0.000207032
